Index,Luminance,RescaledTone,MusicNote,Scale
85,106.45424836601308,57,A,Em
86,143.49846212995,59,B,Em
87,160.8106497500961,60,C,Em
88,191.47846981930027,62,D,Em
89,102.53940792003075,57,A,Em
90,149.29969242599,59,B,Em
91,226.53690888119954,52,E,Em
92,195.98846597462514,62,D,Em
93,160.06516724336794,60,C,Em
94,153.87581699346404,60,C,Em
95,160.45770857362552,60,C,Em
96,124.08285274894271,59,B,Em
97,91.67704728950403,57,A,Em
98,54.5759323337178,54,F#,Em
99,38.07054978854287,54,F#,Em
100,62.94886582083814,55,G,Em
101,100.1526336024606,57,A,Em
102,133.95174932718186,59,B,Em
103,149.67185697808534,59,B,Em
104,140.26662821991542,59,B,Em
105,161.63148788927336,60,C,Em
106,208.03364090734334,52,E,Em
107,205.65494040753558,62,D,Em
108,197.04632833525568,62,D,Em
109,42.947712418300654,54,F#,Em
110,77.0326797385621,55,G,Em
111,226.92099192618224,52,E,Em
112,224.7043444828912,52,E,Em
113,225.36332179930795,52,E,Em
114,216.01153402537486,52,E,Em
115,192.4519415609381,62,D,Em
116,159.15820838139177,60,C,Em
117,120.03152633602461,59,B,Em
118,86.93771626297578,57,A,Em
119,52.22914263744713,54,F#,Em
120,69.1114955786236,55,G,Em
121,111.46693579392542,57,A,Em
122,142.619569396386,59,B,Em
123,167.3719723183391,60,C,Em
124,189.10361399461746,62,D,Em
125,199.62591311034217,62,D,Em
126,193.98558246828142,62,D,Em
127,175.8631295655517,62,D,Em
128,77.43694732795079,55,G,Em
129,53.30161476355248,54,F#,Em
130,55.30718954248366,54,F#,Em
131,130.50845828527488,59,B,Em
132,206.46597462514418,62,D,Em
133,191.31334102268357,62,D,Em
134,168.779507881584,60,C,Em
135,138.0759323337178,59,B,Em
136,109.53402537485583,57,A,Em
137,99.2681660899654,57,A,Em
138,69.7362552864283,55,G,Em
139,41.29104190695886,54,F#,Em
140,58.78219915417147,54,F#,Em
141,79.68915801614763,57,A,Em
142,68.90196078431373,55,G,Em
143,84.94867358708188,57,A,Em
144,121.50269127258747,59,B,Em
145,103.06958861976163,57,A,Em
146,76.81737793156478,55,G,Em
147,43.58246828143022,54,F#,Em
148,41.838523644752016,54,F#,Em
149,41.734140715109575,54,F#,Em
150,56.149173394848134,54,F#,Em
151,63.991733948481354,55,G,Em
152,122.7439446366782,59,B,Em
153,191.18242983467897,62,D,Em
154,181.05074971164936,62,D,Em
155,157.99154171472512,60,C,Em
156,129.24163783160324,59,B,Em
157,89.40272971933872,57,A,Em
158,68.7351018838908,55,G,Em
159,52.3800461361015,54,F#,Em
160,18.509034986543636,52,E,Em
161,26.906958861976165,54,F#,Em
162,36.12975778546713,54,F#,Em
163,42.05036524413687,54,F#,Em
164,46.72856593617839,54,F#,Em
165,55.21357170319108,54,F#,Em
166,64.2685505574779,55,G,Em
167,71.2960399846213,55,G,Em
168,85.96866589773164,57,A,Em
169,81.02268358323721,57,A,Em
170,87.81468665897732,57,A,Em
171,85.0517108804306,57,A,Em
172,75.100153787005,55,G,Em
173,70.69261822376009,55,G,Em
174,63.25394079200308,55,G,Em
175,56.0840061514802,54,F#,Em
176,48.737216455209534,54,F#,Em
177,40.95444059976932,54,F#,Em
178,32.375624759707804,54,F#,Em
179,22.775470972702806,52,E,Em
180,18.868512110726645,52,E,Em
181,28.42868127643214,54,F#,Em
182,41.69050365244137,54,F#,Em
183,50.05728565936178,54,F#,Em
184,59.14302191464821,54,F#,Em
185,70.09746251441753,55,G,Em
186,89.81084198385237,57,A,Em
187,98.98116109188774,57,A,Em
188,125.59419454056132,59,B,Em
189,94.43233371780084,57,A,Em
190,127.3606305267205,59,B,Em
191,148.87620146097655,59,B,Em
192,147.3125720876586,59,B,Em
193,143.3089196462899,59,B,Em
194,130.2277970011534,59,B,Em
195,113.57304882737408,57,A,Em
196,93.25836216839677,57,A,Em
197,76.41311034217608,55,G,Em
198,63.06266820453671,55,G,Em
199,47.70626682045367,54,F#,Em
200,42.32641291810842,54,F#,Em
201,64.68069973087275,55,G,Em
202,80.1328335255671,57,A,Em
203,89.95347943098808,57,A,Em
204,96.6401384083045,57,A,Em
205,104.2956555171088,57,A,Em
206,119.45713187235678,59,B,Em
207,117.98366013071896,59,B,Em
208,111.44425221068819,57,A,Em
209,59.56901191849289,54,F#,Em
210,90.3598615916955,57,A,Em
211,143.3502499038831,59,B,Em
212,152.318339100346,59,B,Em
213,145.46347558631297,59,B,Em
214,135.24990388312187,59,B,Em
215,118.36485966935794,59,B,Em
216,97.7835447904652,57,A,Em
217,82.36985774702038,57,A,Em
218,70.49846212995001,55,G,Em
219,49.460592079969246,54,F#,Em
220,50.19204152249135,54,F#,Em
221,74.24778931180315,55,G,Em
222,87.24452133794695,57,A,Em
223,89.31410995770857,57,A,Em
224,89.13244905805459,57,A,Em
225,92.49288735101884,57,A,Em
226,125.07708573625528,59,B,Em
227,127.61687812379854,59,B,Em
228,156.44405997693195,60,C,Em
229,53.9361783929258,54,F#,Em
230,103.54690503652441,57,A,Em
231,155.3833141099577,60,C,Em
232,138.95809304113803,59,B,Em
233,131.17800845828526,59,B,Em
234,121.05132641291812,59,B,Em
235,107.25413302575933,57,A,Em
236,95.70857362552864,57,A,Em
237,85.99211841599384,57,A,Em
238,73.24663590926566,55,G,Em
239,51.07420222991157,54,F#,Em
240,46.09861591695502,54,F#,Em
241,63.72952710495963,55,G,Em
242,71.97347174163784,55,G,Em
243,75.05786236063052,55,G,Em
244,67.86639753940791,55,G,Em
245,57.177431757016535,54,F#,Em
246,74.21741637831603,55,G,Em
247,87.12475970780469,57,A,Em
248,118.69261822376009,59,B,Em
249,75.33679354094579,55,G,Em
250,50.02499038831219,54,F#,Em
251,71.13187235678585,55,G,Em
252,74.95847750865052,55,G,Em
253,100.31353325643983,57,A,Em
254,96.65840061514803,57,A,Em
255,97.54286812764322,57,A,Em
256,88.02191464821223,57,A,Em
257,77.92906574394463,55,G,Em
258,61.4677047289504,55,G,Em
259,43.50173010380623,54,F#,Em
260,36.86332179930796,54,F#,Em
261,46.51114955786236,54,F#,Em
262,47.81699346405229,54,F#,Em
263,46.53075740099962,54,F#,Em
264,44.68973471741638,54,F#,Em
265,40.04555940023068,54,F#,Em
266,50.15897731641676,54,F#,Em
267,77.69896193771626,55,G,Em
268,53.82910419069589,54,F#,Em
